id,발생시각,처음확인,마지막변경,권역,보낸곳,출처,지역,건물,건물종류,화재종류,진행상태,등급,신빙성,규모,규모근거,진화,층,아래층물피해,관련기사수,언론사,관련기사,네이버뉴스,네이버블로그,네이버카페
d9d5f7a8b3c8,2026-09-23T15:13:09+09:00,,2026-09-25T06:03:24+09:00,서울 남부,,소방출동,서울특별시 강서구 화곡동,동도 센트리움 오피스텔,상가·빌딩,기타화재,방문가능,★★★,,,,,,,0,,,0,0,0
a129cdefca7f,2026-09-23T16:33:54+09:00,2026-09-23T22:00:17.392017+09:00,2026-09-25T06:03:24+09:00,인천,,소방출동,인천광역시 부평구 갈산동,금강프라자,상가·빌딩,"일반화재(차량,주택)",방문가능,★★,,,,,,,0,,,0,0,0
b7d28719d876,2026-09-23T16:53:39+09:00,2026-09-23T22:00:17.392017+09:00,2026-09-25T06:03:24+09:00,경기 북부,,소방출동,경기도 파주시 야당동,에펠타워,상가·빌딩,"고층건물(3층이상,아파트)",진화중,★,,,,,,,0,,,0,0,0
229ba3fa2ef2,2026-09-23T17:04:47+09:00,2026-09-23T22:00:17.392017+09:00,2026-09-25T06:03:24+09:00,서울 북부,,소방출동,서울특별시 마포구 연남동,서울공공주택연남동희망원룸,주택·빌라,"일반화재(차량,주택)",진화중,★,,,,,,,0,,,0,0,0
484f8dbb6e58,2026-09-23T17:23:46+09:00,2026-09-23T22:00:17.392017+09:00,2026-09-25T06:03:24+09:00,경기 남부,,소방출동,경기도 의왕시 고천동,고천초등학교,교육·종교,기타화재,진화중,,,,,,,,0,,,0,0,0
679c7adef693,2026-09-23T18:13:00+09:00,,2026-09-25T06:03:24+09:00,경기 남부,,소방출동,경기도 성남시 수정구 태평동,1983게러지 맞은편 주택가,주택·빌라,기타화재,방문가능,★★★,,,,,,,0,,,0,0,0
ca799b5ce8c7,2026-09-23T18:26:19+09:00,2026-09-23T22:00:17.392017+09:00,2026-09-25T06:03:24+09:00,경기 북부,,소방출동,경기도 양주시 광적면 우고리,,,"일반화재(차량,주택)",진화중,★,,,,,,,0,,,0,0,0
38f57f877551,2026-09-23T18:42:08+09:00,2026-09-23T22:00:17.392017+09:00,2026-09-25T06:03:24+09:00,인천,,소방출동,인천광역시 연수구 청학동,,,"일반화재(차량,주택)",방문가능,★★,,,,,,,0,,,0,0,0
4c3b7b77ffbd,2026-09-23T18:42:40+09:00,,2026-09-25T06:03:24+09:00,서울 남부,,소방출동,서울특별시 강남구 일원동,샘터마을아파트,아파트,"일반화재(차량,주택)",확인필요,★★,,,,,,,0,,,0,0,0
68c404b4cbc3,2026-09-23T19:11:38+09:00,2026-09-23T22:00:17.392017+09:00,2026-09-25T06:03:24+09:00,인천,,소방출동,인천광역시 부평구 부평동,,,"고층건물(3층이상,아파트)",방문가능,★★★,,,,,,,0,,,0,0,0
11f500850b33,2026-09-23T19:40:46+09:00,2026-09-23T22:00:17.392017+09:00,2026-09-25T06:03:24+09:00,경기 남부,,소방출동,경기도 오산시 세교동,시립세마어린이집,교육·종교,기타화재,진화중,,,,,,,,0,,,0,0,0
ce464f9a861a,2026-09-23T20:08:37+09:00,2026-09-23T22:00:17.392017+09:00,2026-09-25T06:03:24+09:00,서울 남부,,소방출동,서울특별시 강서구 화곡동,,,"일반화재(차량,주택)",진화중,★,,,,,,,0,,,0,0,0
131d553a42bf,2026-09-23T20:46:27+09:00,,2026-09-25T06:03:24+09:00,경기 서부,,소방출동,경기도 김포시 대곶면 대벽리,,,"일반화재(차량,주택)",방문가능,★★,,,,,,,0,,,0,0,0
011146c6fb66,2026-09-23T20:55:07+09:00,2026-09-23T22:00:17.392017+09:00,2026-09-25T06:03:24+09:00,경기 북부,,소방출동,경기도 양주시 삼숭동,나래아파트,아파트,기타화재,진화중,★★,,,,,,,0,,,0,0,0
119ca2143bd6,2026-09-23T21:20:14+09:00,,2026-09-25T06:03:24+09:00,경기 서부,,소방출동,경기도 안산시 상록구 일동,햇빛 요양원,요양·병원,기타화재,진화중,,,,,,,,0,,,0,0,0
0942d62039a5,2026-09-23T21:23:25+09:00,2026-09-23T22:00:17.392017+09:00,2026-09-25T06:03:24+09:00,서울 북부,,소방출동,서울특별시 노원구 하계동,아주아파트,아파트,"고층건물(3층이상,아파트)",진화중,★★,,,,,,,0,,,0,0,0
3ce7eda18137,2026-09-23T21:45:41+09:00,2026-09-23T22:00:17.392017+09:00,2026-09-25T06:03:24+09:00,인천,,소방출동,인천광역시 검단구 오류동,,,"대형화재(시장,공장)",진화중,,,,,,,,0,,,0,0,0
8d0e9af88993,2026-09-23T21:50:18+09:00,,2026-09-25T06:03:24+09:00,인천,,소방출동,인천광역시 남동구 구월동,느낌호텔,숙박,"일반화재(차량,주택)",진화중,,,,,,,,0,,,0,0,0
42cf7f61a1b9,2026-09-23T23:42:47+09:00,,2026-09-25T06:03:24+09:00,경기 북부,,소방출동,경기도 포천시 신북면 기지리,,,"일반화재(차량,주택)",방문가능,★★,,,,,,,0,,,0,0,0
6ad7df199c09,2026-09-23T23:47:03+09:00,,2026-09-25T06:03:24+09:00,서울 북부,,소방출동,서울특별시 용산구 이태원동,,,"일반화재(차량,주택)",진화중,,,,,,,,0,,,0,0,0
3ac454f2bd1c,2026-09-23T23:47:58+09:00,,2026-09-25T06:03:24+09:00,서울 남부,,소방출동,서울특별시 영등포구 영등포동8가,영등포삼환아파트,아파트,"일반화재(차량,주택)",진화중,★,,,,,,,0,,,0,0,0
f40062173afa,2026-09-24T00:41:12+09:00,,2026-09-25T06:03:24+09:00,인천,,소방출동,인천광역시 남동구 남촌동,주)창성,,"대형화재(시장,공장)",확인필요,,,,,,,,0,,,0,0,0
04ee667e7ff0,2026-09-24T00:49:11+09:00,,2026-09-25T06:03:24+09:00,서울 북부,,소방출동,서울특별시 광진구 중곡동,,,"일반화재(차량,주택)",진화중,,,,,,,,0,,,0,0,0
06a83d736884,2026-09-24T01:17:25+09:00,,2026-09-25T06:03:24+09:00,서울 남부,,소방출동,서울특별시 강서구 염창동,삼성관음아파트,아파트,"고층건물(3층이상,아파트)",진화중,★,,,,,,,0,,,0,0,0
5b9ed48e4c47,2026-09-24T01:37:09+09:00,,2026-09-25T06:03:24+09:00,경기 북부,,소방출동,경기도 파주시 와동동,가람마을2단지,아파트,기타화재,진화중,★★,,,,,,,0,,,0,0,0
9c11b39a717f,2026-09-24T01:50:01+09:00,,2026-09-25T06:03:24+09:00,경기 북부,,소방출동,경기도 남양주시 와부읍 덕소리,신암밀리안아파트 21층 추정,아파트,"일반화재(차량,주택)",진화중,★,,,,,,,0,,,0,0,0
3c356eb52acc,2026-09-24T02:41:44+09:00,,2026-09-25T06:03:24+09:00,서울 북부,,소방출동,서울특별시 노원구 중계동,,,"일반화재(차량,주택)",진화중,,,,,,,,0,,,0,0,0
c4fdbbd914f3,2026-09-24T03:11:39+09:00,,2026-09-25T06:03:24+09:00,경기 서부,,소방출동,경기도 광명시 소하동,휴먼시아6단지아파트 606동,아파트,기타화재,진화중,★★,,,,,,,0,,,0,0,0
